country_name,power_index,available_manpower,purchasing_power_parity,defense_budget,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,aircraft_total,attack,fighters,transport,helicopters,special_mission,trainers,attack_helicopters,tanker,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessels,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,external_debt
Iraq,0.8115,17675043,585887000000,8000000000,193000,0,5000,180000,3000,360,36,26,15,183,17,111,39,0,67,0.0,0.0,0.0,0.0,1.0,0.0,55.0,0.0,1188,434,610,572,15580000000
Ireland,2.0661,2407392,620544000000,1754400500,7557,1720,690,7705,800,23,0,0,5,8,2,8,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0,0,0,3630000000000
Israel,0.2707,3949099,472177000000,34600000000,169500,465000,89000,526000,19500,597,45,239,14,127,19,148,48,13,82,0.0,0.0,0.0,0.0,7.0,6.0,66.0,0.0,1300,323,171,228,163350000000
Italy,0.2211,27434219,3133000000000,37325165000,165500,18300,43000,97755,30000,714,65,88,31,352,22,152,37,8,285,2.0,0.0,3.0,14.0,0.0,8.0,15.0,10.0,203,64,108,21,3025000000000
Ivory-coast,2.3884,12292521,215018000000,18200000,22000,0,460,22000,1000,22,0,0,3,14,3,2,5,0,8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0,4,6,26576000000
Japan,0.1876,52976836,5715000000000,58000000000,251500,56000,50000,206700,50800,1429,47,217,53,583,135,399,118,10,158,0.0,4.0,41.0,8.0,0.0,23.0,6.0,18.0,734,193,480,99,5147667910000
Jordan,1.5581,3463947,109986000000,2668500000,114500,100000,14000,146000,5500,279,10,44,12,159,11,66,44,0,27,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1508,478,80,84,21058000000
Kazakhstan,1.0433,9117003,739385000000,5836386000,110000,135000,12000,80000,3000,168,13,37,21,72,0,25,12,0,26,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,353,126,194,287,25765000000
Kenya,1.8588,21551160,328632000000,1651803025,50000,0,4175,50000,2500,154,0,17,21,84,2,30,2,0,27,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,188,18,53,0,31451000000
Kosovo,3.8041,917371,25019000000,1177450000,4000,5000,0,9000,0,0,0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,785739000
