Country Name,Power Index,Available Manpower,Purchasing Power Parity,Defense Budget,Active Personnel,Reserve Personnel,Air Force Personnel,Army Personnel,Navy Personnel,Aircraft Total,Attack,Fighters,Transport,Helicopters,Special-Mission,Trainers,Attack Helicopters,Tanker,Naval Assets,Aircraft Carriers,Helicopter Carriers,Destroyers,Frigates,Corvettes,Submarines,Patrol Vessels,Mine Warfare,Tanks,Self-Propelled Artillery,Towed Artillery,Rocket Artillery,External Debt
Norway,0.6679,"2,203,893","$507,680,000,000 USD","$11,189,483,200 USD","33,440","20,100","3,650","8,735","4,010",109,43 (39.4%),0 (0.0%),4 (3.7%),34 (31.2%),5 (4.6%),23 (21.1%),0 (0.0%),0 (0.0%),48,0,0,0,4,6,6,20,5,36,28,0,0,"$787,758,400,000 USD"
Oman,1.8823,"1,482,757","$193,591,000,000 USD","$8,364,000,000 USD","100,000",0,"6,145","100,000","4,200",128,10 (7.8%),29 (22.7%),9 (7.0%),31 (24.2%),4 (3.1%),45 (35.2%),0 (0.0%),0 (0.0%),17,0,0,0,0,5,0,8,0,264,24,144,0,"$55,986,700,000 USD"
Pakistan,0.2626,"108,516,336","$1,390,000,000,000 USD","$9,102,115,350 USD","660,000","550,000","78,000","1,311,500","57,500","1,397",90 (6.4%),331 (23.7%),63 (4.5%),379 (27.1%),27 (1.9%),563 (40.3%),55 (3.9%),4 (0.3%),120,0,0,0,9,6,8,79,3,"2,677",662,"2,629",652,"$89,148,000,000 USD"
Panama,3.5011,"2,011,608","$164,484,000,000 USD","$1,069,750,000 USD","16,300",0,500,"80,000",0,38,0 (0.0%),0 (0.0%),13 (34.2%),23 (60.5%),2 (5.3%),0 (0.0%),0 (0.0%),0 (0.0%),22,0,0,0,0,0,0,14,0,0,0,0,0,"$1,227,085,530,000 USD"
Paraguay,1.7974,"3,535,598","$112,919,000,000 USD","$416,800,000 USD","15,650","168,500","1,100","180,000","5,400",49,4 (8.2%),0 (0.0%),12 (24.5%),18 (36.7%),1 (2.0%),14 (28.6%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,6,50,0,"$13,783,000,000 USD"
Peru,0.8827,"15,648,120","$535,911,000,000 USD","$2,552,000,000 USD","120,000","386,000","12,100","92,500","26,000",252,22 (8.7%),15 (6.0%),39 (15.5%),112 (44.4%),12 (4.8%),68 (27.0%),16 (6.3%),0 (0.0%),78,0,0,0,7,8,6,13,0,355,12,290,61,"$38,102,000,000 USD"
Philippines,0.6993,"50,859,137","$1,202,000,000,000 USD","$6,571,641,011 USD","160,000","1,500,000","33,600","1,310,000","42,270",204,17 (8.3%),0 (0.0%),23 (11.3%),130 (63.7%),11 (5.4%),23 (11.3%),6 (2.9%),0 (0.0%),127,0,0,0,4,1,0,60,0,18,12,296,0,"$63,241,000,000 USD"
Poland,0.3891,"18,985,692","$1,649,000,000,000 USD","$55,865,141,600 USD","250,000","350,000","16,500","110,000","8,240",457,12 (2.6%),58 (12.7%),44 (9.6%),224 (49.0%),11 (2.4%),112 (24.5%),29 (6.3%),0 (0.0%),63,0,0,0,2,2,1,3,29,798,593,0,298,"$425,641,700,000 USD"
Portugal,0.6659,"5,319,863","$556,942,000,000 USD","$6,760,000,000 USD","25,000","23,500","6,000","12,000","7,000",128,5 (3.9%),28 (21.9%),20 (15.6%),36 (28.1%),16 (12.5%),23 (18.0%),0 (0.0%),4 (3.1%),128,0,0,0,5,2,2,71,0,34,23,54,0,"$530,000,000,000 USD"
Qatar,1.4096,"638,022","$317,064,000,000 USD","$11,950,000,000 USD","26,550","4,000","2,000","12,500","2,500",263,6 (2.3%),115 (43.7%),12 (4.6%),85 (32.3%),0 (0.0%),45 (17.1%),24 (9.1%),0 (0.0%),125,0,0,0,0,4,0,107,0,62,46,12,16,"$205,700,000,000 USD"
Republic-of-the-congo,2.6259,"2,256,136","$39,147,000,000 USD","$933,360,000 USD","10,000",0,675,"9,325",0,14,0 (0.0%),2 (14.3%),4 (28.6%),8 (57.1%),0 (0.0%),0 (0.0%),1 (7.1%),0 (0.0%),4,0,0,0,0,0,0,0,0,61,3,38,30,"$6,360,000,000 USD"
